====================================================================================================
A1 SCALING EXPERIMENT - ARCHITECTURE WITH APACHE FLINK - RESOURCE METRICS
Generated: 2026-05-16T06:59:56Z
Source: Grafana CSV exports (UTF-16 TSV) of CPU / memory per container + totals.
        Sampling interval: 15 s (per Grafana dashboard configuration).
Phase ('active_devices') = number of devices whose coordinator had subscribed at this sample's wall-clock.
Times in Athens local (+02:00); the Grafana CSV uses local timestamps.
====================================================================================================

Containers measured  : pulsar, jobmanager, taskmanager, mosquittoo, postgres, rustfs_container
Sample count         : 249
Time range           : 2026-05-15 18:58:15 -> 2026-05-15 20:00:15

====================================================================================================
1. PER-PHASE x PER-CONTAINER  (mean / p95 / max CPU in cores, mean / max memory in MiB)
====================================================================================================
  #dev container                 n    cpu_mean   cpu_p95   cpu_max    mem_mean_MB  mem_max_MB
    14 rustfs_container         12      0.2442    0.3325    0.3330          229.0       240.1
    14 _TOTAL_(containers)      12      1.4323    2.7775    3.0800         7188.7      7698.7

    15 pulsar                   14      0.7779    2.3775    2.4100         2281.7      3146.1
    15 jobmanager               14      0.0602    0.0999    0.1010         1895.9      1997.2
    15 taskmanager              14      0.4391    0.5740    0.5740         2352.3      2480.3
    15 mosquittoo               14      0.0026    0.0029    0.0029           17.3        17.6
    15 postgres                 14      0.0080    0.0110    0.0113           79.3        85.0
    15 rustfs_container         14      0.1894    0.2861    0.2900          226.3       237.0
    15 _TOTAL_(containers)      14      1.4778    3.0330    3.1500         6854.3      7387.3

    16 pulsar                   12      0.6896    2.1655    2.2700         2058.9      2963.5
    16 jobmanager               12      0.0692    0.1109    0.1120         2013.3      2061.6
    16 taskmanager              12      0.4827    0.5987    0.6080         2284.4      2308.5
    16 mosquittoo               12      0.0027    0.0030    0.0030           17.2        17.9
    16 postgres                 12      0.0089    0.0122    0.0128           77.7        81.6
    16 rustfs_container         12      0.1673    0.2178    0.2200          226.6       239.1
    16 _TOTAL_(containers)      12      1.4218    2.8610    3.0700         6679.6      7580.6

    17 pulsar                   13      0.7198    2.1940    2.2300         1375.2      2072.3
    17 jobmanager               13      0.0763    0.1064    0.1070         1943.5      2007.9
    17 taskmanager              13      0.4715    0.6006    0.6150         2177.2      2297.8
    17 mosquittoo               13      0.0028    0.0030    0.0030           17.3        17.7
    17 postgres                 13      0.0093    0.0125    0.0126           73.0        78.7
    17 rustfs_container         13      0.1617    0.2480    0.2600          157.8       183.5
    17 _TOTAL_(containers)      13      1.4413    2.9540    3.0500         5747.0      6249.2

    18 pulsar                   13      0.7070    2.2060    2.3200          792.2      1707.2
    18 jobmanager               13      0.0652    0.1224    0.1230         1988.9      2061.6
    18 taskmanager              13      0.5756    0.7394    0.7430         1751.0      2007.9
    18 mosquittoo               13      0.0029    0.0031    0.0032           13.7        17.9
    18 postgres                 13      0.0077    0.0089    0.0089           75.8        81.0
    18 rustfs_container         13      0.2020    0.2544    0.2580          130.6       143.7
    18 _TOTAL_(containers)      13      1.5612    3.0420    3.1800         4750.9      5400.9

    19 pulsar                   14      0.5494    1.9860    2.2200          737.0      1385.1
    19 jobmanager               14      0.0661    0.0987    0.0993         1921.2      2007.9
    19 taskmanager              14      0.5519    0.6886    0.6990         1661.2      1760.9
    19 mosquittoo               14      0.0030    0.0032    0.0033            3.9         4.6
    19 postgres                 14      0.0075    0.0090    0.0091           80.0        98.0
    19 rustfs_container         14      0.2221    0.2688    0.2740           86.8       116.4
    19 _TOTAL_(containers)      14      1.4007    2.9160    3.1500         4490.5      5121.7


====================================================================================================
2. SCALING CURVES (per phase, totals across the 6 measured containers)
====================================================================================================
  #dev n_samples    cpu_mean   cpu_p95   cpu_max    mem_mean_MiB  mem_max_MiB
     0         4      0.3205    0.7907    0.9080          4636.2       5283.8
     1        13      0.9863    2.6500    2.6800          5060.1       5888.0
     2        13      0.9886    2.6180    2.6300          5532.0       5765.1
     3        13      0.9855    2.6220    2.6700          5925.0       6676.5
     4        12      0.8686    2.6335    2.6500          6366.7       7168.0
     5        13      1.0355    2.6980    2.7100          6733.2       7874.6
     6        13      1.0795    2.6820    2.7300          7082.9       7751.7
     7        13      1.1508    2.7640    2.7700          7397.2       8233.0
     8        12      1.1878    2.9725    3.0000          7875.4       8642.6
     9        13      1.3011    2.8920    3.0300          8210.1       8775.7
    10        13      1.2907    2.8860    2.9100          8232.2       8601.6
    11        13      1.3515    2.9140    2.9800          7456.3       7874.6
    12        13      1.4998    2.9140    3.0700          6811.2       7444.5
    13        13      1.5689    3.1160    3.1400          6944.3       7741.4
    14        12      1.4323    2.7775    3.0800          6855.7       7342.1
    15        14      1.4778    3.0330    3.1500          6536.8       7045.1
    16        12      1.4218    2.8610    3.0700          6370.1       7229.4
    17        13      1.4413    2.9540    3.0500          5480.8       5959.7
    18        13      1.5612    3.0420    3.1800          4530.8       5150.7
    19        14      1.4007    2.9160    3.1500          4282.5       4884.5

====================================================================================================
3. BOTTLENECK CANDIDATES PER PHASE (container with highest p95 CPU)
====================================================================================================
  #dev   top container by p95 CPU         cpu_p95   top container by mem_max        mem_max_MiB
     0   pulsar                            0.7345   pulsar                               3758.1
     1   pulsar                            2.1220   pulsar                               3737.6
     2   pulsar                            2.1600   pulsar                               3205.1
     3   pulsar                            2.1980   pulsar                               3717.1
     4   pulsar                            2.2090   pulsar                               3819.5
     5   pulsar                            2.2320   pulsar                               4147.2
     6   pulsar                            2.2200   pulsar                               3686.4
     7   pulsar                            2.2540   pulsar                               3829.8
     8   pulsar                            2.2925   pulsar                               3706.9
     9   pulsar                            2.2960   pulsar                               3563.5
    10   pulsar                            2.1700   pulsar                               3266.6
